Date,Price
9/3/2021,2.02
9/2/2021,2.02
9/1/2021,2.07
8/31/2021,2.095
8/30/2021,2.078
8/27/2021,2.101
8/26/2021,2.084
8/25/2021,2.075
8/24/2021,2.081
8/23/2021,2.092
8/20/2021,2.069
8/19/2021,2.113
8/18/2021,2.115
8/17/2021,2.089
8/16/2021,2.086
8/13/2021,2.16
8/12/2021,2.106
8/11/2021,2.143
8/10/2021,2.127
8/9/2021,2.142
8/6/2021,2.118
8/5/2021,2.149
8/4/2021,2.172
8/3/2021,2.105
8/2/2021,2.212
7/30/2021,2.153
7/29/2021,2.119
7/28/2021,2.152
7/27/2021,2.116
7/26/2021,2.114
7/23/2021,2.127
7/22/2021,2.119
7/21/2021,2.123
7/20/2021,2.132
7/19/2021,2.133
7/16/2021,2.124
7/15/2021,2.103
7/14/2021,2.101
7/13/2021,2.144
7/12/2021,2.151
7/9/2021,2.127
7/8/2021,2.128
7/7/2021,2.154
7/6/2021,2.128
7/5/2021,2.134
7/2/2021,2.149
7/1/2021,2.161
6/30/2021,2.174
6/29/2021,2.179
6/28/2021,2.212
6/25/2021,2.224
6/24/2021,2.173
6/23/2021,2.179
6/22/2021,2.158
6/21/2021,2.176
6/18/2021,2.127
6/17/2021,2.167
6/16/2021,2.168
6/15/2021,2.21
6/14/2021,2.169
6/11/2021,2.181
6/10/2021,2.215
6/9/2021,2.205
6/8/2021,2.221
6/7/2021,2.242
6/4/2021,2.239
6/3/2021,2.253
6/2/2021,2.212
6/1/2021,2.253
5/31/2021,2.273
5/28/2021,2.298
5/27/2021,2.304
5/26/2021,2.317
5/25/2021,2.316
5/24/2021,2.324
5/21/2021,2.346
5/20/2021,2.345
5/19/2021,2.356
5/18/2021,2.366
5/17/2021,2.369
5/14/2021,2.379
5/13/2021,2.39
5/12/2021,2.372
5/11/2021,2.389
5/10/2021,2.393
5/7/2021,2.4
5/6/2021,2.398
5/5/2021,2.374
5/4/2021,2.378
5/3/2021,2.262
4/30/2021,2.263
4/29/2021,2.313
4/28/2021,2.313
4/27/2021,2.308
4/26/2021,2.281
4/23/2021,2.295
4/22/2021,2.243
4/21/2021,2.269
4/20/2021,2.319
4/19/2021,2.337
4/16/2021,2.287
4/15/2021,2.373
4/14/2021,2.376
4/13/2021,2.363
4/12/2021,2.386
4/9/2021,2.373
4/8/2021,2.365
4/7/2021,2.363
4/6/2021,2.367
